Gender ID steps bmi
M 181 12130 17.2
M 182 11968 25.8
M 183 11968 25.8
M 184 11968 22.2
M 186 11968 22.2
M 187 11968 17.7
M 188 11968 17.7
M 190 11829 29.7
M 191 11829 28.9
M 193 11829 28.8
M 198 11829 19.0
M 201 11829 18.2
M 202 11829 18.2
M 204 11829 17.3
M 206 11667 29.8
M 207 11667 29.5
M 209 11667 28.5
M 212 11667 26.0
M 213 11667 21.9
M 214 11667 21.9
M 217 11667 17.9
M 218 11667 18.1
M 220 11667 17.9
M 222 11528 29.8
M 224 11528 28.4
M 225 11528 28.4
M 226 11528 26.0
M 227 11528 26.0
M 229 11528 21.8
M 230 11528 19.3
M 231 11528 19.3
M 232 11528 18.1
M 234 11528 18.0
M 236 11528 17.8
M 238 11528 17.2
M 239 11366 29.8
M 242 11366 28.3
M 243 11366 28.3
M 244 11366 26.1
M 246 11366 19.4
M 248 11366 17.8
M 251 11227 29.6
M 252 11227 29.6
M 255 11227 29.6
M 256 11227 29.6
M 257 11227 28.7
M 261 11227 28.2
M 263 11227 26.2
M 264 11227 21.6
M 265 11227 21.6
M 266 11227 19.5
M 267 11227 19.5
M 268 11227 17.7
M 271 11065 29.9
M 273 11065 28.3
M 275 11065 28.3
M 276 11065 28.2
M 278 11065 26.2
M 280 11065 21.4
M 285 11065 17.4
M 286 11065 17.4
M 287 11065 17.3
M 290 11065 17.3
M 291 10926 30.2
M 292 10926 30.1
M 294 10926 28.0
M 295 10926 28.1
M 296 10926 26.3
M 299 10926 19.6
M 301 10764 30.3
M 303 10764 30.4
M 304 10764 27.8
M 307 10764 27.3
M 309 10764 27.2
M 312 10764 21.1
M 315 10764 19.7
M 316 10625 30.5
M 317 10625 30.5
M 319 10625 29.9
M 322 10625 28.9
M 323 10625 28.9
M 324 10625 27.6
M 325 10625 27.6
M 326 10625 27.5
M 327 10625 27.5
M 331 10625 20.8
M 336 10463 31.3
M 339 10463 30.1
M 340 10463 30.1
M 342 10463 28.5
M 344 10463 27.8
M 345 10463 27.4
M 346 10463 27.8
M 348 10463 25.8
M 349 10463 25.8
M 350 10463 20.3
M 352 10463 20.4
M 353 10463 20.3
M 354 10463 20.3
M 355 10463 19.8
M 356 10301 31.4
M 358 10301 30.8
M 359 10301 30.8
M 361 10301 29.7
M 362 10301 29.6
M 363 10301 29.7
M 364 10301 28.4
M 366 10301 28.3
M 368 10301 27.3
M 369 10301 27.3
M 370 10301 27.4
M 371 10301 27.2
M 373 10301 27.3
M 374 10301 27.3
M 378 10301 27.3
M 380 10301 26.5
M 381 10301 26.6
M 382 10301 26.6
M 384 10301 25.7
M 388 10301 19.5
M 389 10301 19.5
M 390 10162 31.3
M 392 10162 30.9
M 394 10162 30.3
M 395 10162 29.9
M 396 10162 29.9
M 400 10162 28.2
M 402 10162 28.1
M 403 10162 27.5
M 404 10162 27.1
M 408 10162 25.5
M 412 10000 31.5
M 414 10000 31.0
M 415 10000 30.3
M 417 10000 30.0
M 420 10000 28.2
M 421 10000 27.0
M 424 10000 25.5
M 425 10000 18.8
M 426 10000 18.7
M 427 10000 18.7
M 429 9861 31.1
M 430 9861 31.1
M 434 9861 30.0
M 436 9861 29.6
M 437 9861 29.1
M 440 9861 26.9
M 441 9861 26.3
M 443 9861 25.4
M 444 9861 18.5
M 445 9861 18.5
M 451 9699 28.9
M 453 9699 26.8
M 456 9699 26.3
M 458 9699 25.3
M 459 9699 18.3
M 462 9560 31.2
M 464 9560 30.3
M 465 9560 30.1
M 466 9560 29.6
M 467 9560 28.8
M 469 9560 26.2
M 470 9560 25.3
M 474 9560 24.1
M 476 9560 24.0
M 477 9560 24.1
M 480 9398 31.5
M 481 9398 31.3
M 482 9398 31.3
M 486 9398 29.6
M 487 9398 29.6
M 488 9398 29.3
M 489 9398 29.3
M 490 9398 29.5
M 492 9398 29.2
M 493 9398 29.2
M 494 9398 29.2
M 495 9398 29.2
M 496 9398 29.2
M 499 9398 29.1
M 501 9398 29.5
M 503 9398 27.8
M 505 9398 29.3
M 507 9398 27.8
M 508 9398 26.8
M 509 9398 25.3
M 510 9398 26.2
M 511 9398 24.9
M 514 9398 23.6
M 515 9398 23.6
M 516 9398 23.6
M 518 9398 18.0
M 520 9259 31.6
M 521 9259 30.3
M 522 9259 30.1
M 523 9259 30.1
M 524 9259 29.4
M 526 9259 29.5
M 528 9259 29.3
M 529 9259 29.2
M 530 9259 29.4
M 533 9259 29.1
M 534 9259 29.3
M 535 9259 29.2
M 536 9259 29.4
M 537 9259 29.2
M 540 9259 29.2
M 545 9259 29.3
M 546 9259 29.3
M 548 9259 28.8
M 549 9259 29.2
M 550 9259 28.2
M 552 9259 27.6
M 557 9259 25.0
M 558 9259 23.3
M 559 9259 23.3
M 561 9259 17.8
M 562 9259 17.8
M 566 9097 31.4
M 567 9097 30.3
M 568 9097 30.1
M 571 9097 29.4
M 572 9097 29.5
M 575 9097 29.4
M 577 9097 29.3
M 579 9097 29.1
M 581 9097 29.2
M 583 9097 29.2
M 584 9097 29.4
M 585 9097 29.3
M 587 9097 29.3
M 589 9097 29.2
M 590 9097 28.2
M 591 9097 29.1
M 593 9097 29.3
M 595 9097 27.5
M 596 9097 26.7
M 597 9097 26.2
M 598 9097 25.1
M 599 9097 25.2
M 600 9097 25.1
M 603 9097 23.0
M 606 9097 17.5
M 607 9097 17.6
M 608 9097 17.4
M 609 9097 17.5
M 610 9097 17.3
M 611 9097 17.5
M 614 9097 15.8
M 615 9097 15.8
M 616 9097 15.9
M 621 8935 31.4
M 623 8935 30.1
M 624 8935 30.2
M 625 8935 29.5
M 626 8935 29.4
M 627 8935 29.5
M 628 8935 29.4
M 632 8935 29.3
M 634 8935 29.4
M 635 8935 29.2
M 636 8935 29.2
M 641 8935 29.2
M 643 8935 28.9
M 648 8935 26.1
M 650 8935 25.2
M 652 8935 22.8
M 656 8935 16.3
M 657 8796 31.9
M 659 8796 30.2
M 660 8796 30.1
M 662 8796 29.0
M 663 8796 29.0
M 664 8796 28.1
M 669 8796 26.1
M 671 8796 25.1
M 672 8796 22.6
M 673 8796 22.6
M 674 8796 22.6
M 676 8796 17.3
M 677 8796 17.2
M 678 8796 17.3
M 679 8796 17.2
M 681 8796 17.3
M 682 8796 17.2
M 683 8796 16.4
M 685 8796 15.9
M 687 8796 15.9
M 691 8634 31.9
M 695 8634 30.0
M 697 8634 29.5
M 699 8634 28.1
M 703 8634 26.1
M 705 8634 22.4
M 706 8634 22.4
M 707 8634 17.5
M 712 8495 30.2
M 716 8495 29.7
M 717 8495 29.7
M 718 8495 28.0
M 719 8495 28.0
M 722 8495 26.1
M 724 8495 22.3
M 726 8495 17.5
M 727 8495 17.5
M 730 8333 31.8
M 734 8333 27.9
M 737 8333 26.1
M 738 8333 25.1
M 739 8333 25.1
M 741 8333 17.4
M 742 8333 17.4
M 743 8333 17.4
M 744 8194 31.9
M 748 8194 28.4
M 750 8194 27.9
M 751 8194 26.7
M 752 8194 26.1
M 753 8194 26.1
M 755 8194 22.1
M 757 8194 22.0
M 758 8194 17.3
M 767 8032 26.1
M 769 8032 25.1
M 771 8032 23.4
M 774 8032 23.4
M 776 8032 22.5
M 778 8032 22.6
M 783 8032 22.7
M 785 8032 17.7
M 786 7894 32.0
M 789 7894 29.9
M 792 7894 29.5
M 794 7894 28.4
M 796 7894 28.0
M 799 7894 26.1
M 802 7894 21.8
M 803 7894 17.7
M 806 7731 31.5
M 807 7731 30.3
M 808 7731 30.0
M 811 7731 29.4
M 812 7731 29.3
M 814 7731 29.3
M 818 7731 29.1
M 819 7731 29.3
M 820 7731 29.2
M 824 7731 28.1
M 825 7731 26.5
M 827 7731 26.7
M 828 7731 26.5
M 829 7731 26.4
M 831 7731 26.4
M 832 7731 26.3
M 840 7731 25.1
M 843 7731 21.7
M 845 7731 17.6
M 847 7593 32.0
M 848 7593 31.4
M 850 7593 30.0
M 851 7593 29.4
M 855 7593 27.7
M 856 7593 27.7
M 857 7593 26.7
M 858 7593 25.2
M 863 7431 32.0
M 864 7431 31.7
M 866 7431 31.4
M 867 7431 31.4
M 869 7431 30.3
M 871 7431 29.4
M 872 7431 29.3
M 876 7431 29.2
M 878 7431 29.2
M 881 7431 29.1
M 885 7431 29.2
M 887 7431 29.4
M 888 7431 29.3
M 889 7431 29.2
M 890 7431 29.1
M 891 7431 28.1
M 894 7431 26.7
M 896 7431 21.7
M 899 7431 21.6
M 900 7431 17.6
M 902 7431 17.6
M 905 7269 31.9
M 908 7269 31.7
M 910 7269 30.4
M 912 7269 29.4
M 913 7269 29.3
M 914 7269 29.4
M 915 7269 29.3
M 917 7269 29.3
M 920 7269 29.0
M 921 7269 29.2
M 922 7269 29.2
M 925 7269 28.7
M 929 7269 29.0
M 932 7269 29.1
M 936 7269 29.1
M 940 7269 29.4
M 944 7269 21.1
M 945 7269 21.1
M 947 7130 31.7
M 949 7130 31.3
M 951 7130 30.4
M 953 7130 29.5
M 954 7130 29.5
M 955 7130 29.4
M 956 7130 29.3
M 957 7130 29.4
M 959 7130 29.2
M 962 7130 29.2
M 963 7130 29.3
M 965 7130 29.2
M 969 7130 29.1
M 971 7130 29.1
M 975 7130 29.0
M 976 7130 29.3
M 977 7130 28.1
M 980 7130 29.0
M 981 7130 29.0
M 982 7130 29.4
M 983 7130 29.3
M 986 7130 27.6
M 987 7130 26.2
M 989 7130 20.9
M 991 7130 20.9
M 992 7130 21.6
M 994 7130 17.7
M 995 7130 17.7
M 999 6968 30.4
M 1000 6968 30.4
M 1001 6968 30.0
M 1002 6968 29.5
M 1010 6968 29.2
M 1011 6968 29.1
M 1012 6968 29.1
M 1013 6968 28.7
M 1014 6968 29.2
M 1015 6968 28.0
M 1016 6968 28.0
M 1019 6968 26.8
M 1020 6968 26.2
M 1022 6968 25.3
M 1024 6968 25.3
M 1025 6968 21.6
M 1026 6968 20.6
M 1027 6968 20.6
M 1028 6968 17.6
M 1029 6829 31.6
M 1033 6829 30.4
M 1034 6829 30.0
M 1039 6829 26.2
M 1044 6829 20.6
M 1046 6829 20.3
M 1047 6829 20.3
M 1052 6829 17.8
M 1055 6667 31.1
M 1057 6667 30.0
M 1061 6667 28.9
M 1063 6667 26.4
M 1064 6667 26.3
M 1066 6667 26.3
M 1068 6667 26.3
M 1070 6667 25.4
M 1074 6667 20.8
M 1081 6667 19.8
M 1082 6667 19.9
M 1083 6667 19.9
M 1084 6667 17.9
M 1085 6667 18.0
M 1086 6528 31.5
M 1087 6528 31.0
M 1088 6528 31.0
M 1092 6528 29.9
M 1093 6528 29.5
M 1097 6528 29.2
M 1100 6528 29.2
M 1101 6528 29.3
M 1102 6528 29.2
M 1104 6528 27.0
M 1106 6528 26.3
M 1107 6528 26.3
M 1109 6528 25.0
M 1114 6528 21.1
M 1115 6528 21.0
M 1118 6528 19.2
M 1119 6528 19.2
M 1120 6528 19.3
M 1121 6528 19.3
M 1123 6528 19.4
M 1124 6528 19.2
M 1127 6528 19.3
M 1128 6528 19.2
M 1129 6528 19.4
M 1132 6366 31.4
M 1134 6366 31.3
M 1136 6366 31.3
M 1140 6366 30.9
M 1146 6366 29.4
M 1147 6366 29.4
M 1148 6366 28.1
M 1152 6366 27.5
M 1155 6366 27.1
M 1156 6366 26.4
M 1158 6366 25.5
M 1160 6366 24.9
M 1163 6366 21.3
M 1165 6366 18.1
M 1170 6366 15.7
M 1172 6227 30.9
M 1177 6227 30.8
M 1179 6227 30.2
M 1180 6227 30.2
M 1182 6227 29.6
M 1184 6227 29.3
M 1185 6227 28.3
M 1187 6227 27.9
M 1192 6227 27.3
M 1193 6227 26.9
M 1194 6227 27.0
M 1196 6227 26.5
M 1198 6227 26.5
M 1200 6227 25.7
M 1201 6227 24.7
M 1206 6227 21.5
M 1209 6227 17.6
M 1210 6227 17.8
M 1211 6227 17.6
M 1213 6227 15.8
M 1214 6065 30.7
M 1217 6065 30.1
M 1218 6065 28.6
M 1219 6065 28.5
M 1221 6065 27.8
M 1225 6065 25.8
M 1226 6065 24.6
M 1228 6065 21.7
M 1230 6065 21.7
M 1231 6065 21.7
M 1233 6065 21.8
M 1234 6065 17.2
M 1235 6065 17.3
M 1238 6065 16.0
M 1240 6065 15.9
M 1241 5903 30.5
M 1242 5903 30.5
M 1243 5903 29.9
M 1245 5903 28.9
M 1249 5903 27.7
M 1250 5903 27.5
M 1251 5903 27.5
M 1252 5903 26.0
M 1254 5903 26.0
M 1255 5903 24.3
M 1257 5903 24.3
M 1258 5903 21.9
M 1262 5903 17.6
M 1263 5903 16.9
M 1266 5764 30.3
M 1267 5764 30.3
M 1268 5764 27.9
M 1270 5764 27.3
M 1271 5764 27.3
M 1273 5764 27.3
M 1275 5764 26.2
M 1276 5764 26.2
M 1279 5764 24.2
M 1280 5764 24.1
M 1282 5764 24.1
M 1283 5764 22.1
M 1289 5764 17.7
M 1291 5602 30.2
M 1292 5602 30.1
M 1295 5602 28.1
M 1296 5602 26.3
M 1299 5602 23.7
M 1303 5602 22.4
M 1306 5602 21.0
M 1308 5602 17.0
M 1312 5463 29.9
M 1313 5463 28.3
M 1314 5463 28.2
M 1317 5463 23.4
M 1318 5463 23.4
M 1320 5463 20.8
M 1323 5463 17.0
M 1325 5301 29.6
M 1327 5301 29.5
M 1328 5301 29.5
M 1334 5301 28.2
M 1339 5301 23.5
M 1341 5301 20.6
M 1344 5301 19.1
M 1345 5301 19.1
M 1346 5301 19.2
M 1348 5301 19.1
M 1351 5301 19.2
M 1352 5301 18.9
M 1356 5301 18.4
M 1358 5301 18.3
M 1360 5301 18.4
M 1362 5301 18.4
M 1363 5301 18.4
M 1364 5301 17.8
M 1366 5301 17.9
M 1367 5301 17.0
M 1370 5162 28.3
M 1371 5162 28.3
M 1373 5162 23.5
M 1379 5162 19.9
M 1380 5162 19.9
M 1382 5162 19.9
M 1393 5000 26.2
M 1395 5000 17.9
M 1396 5000 17.8
M 1397 5000 18.0
M 1400 5000 16.9
M 1401 4861 29.8
M 1404 4861 28.6
M 1406 4861 28.5
M 1410 4861 17.7
M 1412 4861 17.2
M 1413 4861 16.8
M 1416 4699 28.9
M 1420 4699 26.2
M 1421 4699 23.6
M 1423 4699 17.1
M 1424 4699 16.8
M 1425 4560 26.2
M 1426 4560 26.2
M 1427 4560 23.6
M 1428 4560 23.6
M 1429 4560 17.6
M 1431 4560 16.8
M 1432 4560 16.7
M 1434 4398 23.6
M 1435 4398 23.6
M 1436 4398 17.3
M 1437 4398 17.3
M 1438 4398 17.0
M 1439 4398 17.0
M 1442 4236 23.6
M 1444 4236 17.3
M 1445 4236 16.9
M 1447 4236 16.7
M 1450 4097 23.6
M 1451 4097 23.6
M 1454 4097 17.2
M 1456 3935 29.8
M 1457 3935 29.8
M 1458 3935 29.5
M 1462 3935 23.6
M 1463 3935 17.3
M 1467 3796 29.8
M 1471 3796 23.6
M 1472 3796 17.5
M 1473 3796 17.1
M 1474 3796 17.1
M 1475 3796 17.5
M 1476 3796 16.8
M 1477 3634 29.8
M 1478 3634 29.9
M 1481 3634 23.6
M 1482 3634 17.5
M 1485 3634 17.0
M 1488 3634 17.0
M 1490 3634 16.8
M 1492 3495 29.9
M 1495 3495 17.5
M 1496 3495 17.3
M 1497 3495 16.9
M 1498 3495 16.8
M 1499 3333 29.8
M 1501 3333 29.3
M 1502 3333 26.2
M 1504 3333 17.2
M 1507 3333 17.4
M 1509 3194 29.2
M 1512 3194 28.4
M 1516 3194 17.0
M 1518 3194 17.0
M 1520 3194 17.0
M 1522 3032 29.7
M 1523 3032 29.0
M 1524 3032 29.0
M 1525 3032 28.4
M 1532 3032 17.1
M 1533 3032 17.2
M 1540 2870 30.6
M 1543 2870 30.6
M 1545 2870 29.7
M 1547 2870 28.8
M 1548 2870 28.8
M 1549 2870 28.4
M 1553 2870 26.3
M 1556 2731 30.1
M 1561 2731 30.1
M 1564 2731 28.6
M 1565 2731 28.7
M 1566 2731 28.4
M 1572 2731 26.9
M 1575 2731 26.8
M 1579 2731 26.8
M 1580 2731 26.3
M 1583 2731 26.3
M 1584 2731 26.3
M 1586 2731 27.0
M 1589 2569 31.4
M 1592 2569 28.4
M 1593 2569 25.9
M 1596 2569 23.6
M 1598 2431 31.2
M 1599 2431 31.2
M 1600 2431 31.2
M 1601 2431 29.5
M 1602 2431 28.6
M 1603 2431 28.4
M 1605 2431 28.4
M 1610 2269 30.9
M 1611 2269 30.9
M 1618 2269 30.8
M 1620 2269 29.5
M 1621 2269 28.6
M 1624 2269 25.5
M 1627 2130 31.5
M 1628 2130 31.5
M 1630 2130 29.4
M 1634 1968 29.3
M 1635 1968 29.3
M 1638 1968 23.7
M 1639 1968 23.6
M 1641 1829 31.7
M 1645 1829 28.6
M 1647 1829 28.5
M 1648 1829 28.6
M 1650 1667 31.7
M 1651 1667 28.9
M 1655 1667 23.5
M 1657 1667 23.5
M 1658 1667 23.6
M 1663 1528 23.6
M 1664 1528 23.6
M 1665 1366 31.1
M 1673 1366 30.8
M 1675 1366 30.9
M 1678 1366 30.8
M 1680 1366 30.8
M 1685 1204 31.1
M 1687 1204 31.1
M 1688 1204 28.7
M 1689 1204 28.7
M 1693 1065 28.6
M 1699 903 30.2
M 1705 903 23.7
M 1707 764 30.4
M 1708 764 30.4
M 1718 602 30.7
M 1735 602 27.6
M 1739 602 24.2
M 1747 463 28.9
M 1766 301 24.8
W 3 15000 17.0
W 4 14861 17.2
W 5 14861 17.2
W 9 14699 16.8
W 12 14560 20.4
W 14 14560 20.5
W 15 14560 20.5
W 16 14560 20.5
W 21 14560 19.7
W 23 14560 19.6
W 26 14560 19.7
W 28 14560 19.7
W 31 14560 16.7
W 33 14398 20.9
W 34 14398 19.2
W 35 14398 19.1
W 36 14398 19.2
W 38 14398 17.0
W 39 14398 17.0
W 41 14398 16.7
W 44 14259 18.9
W 45 14259 18.9
W 48 14259 17.2
W 53 14097 21.3
W 56 14097 17.6
W 58 14097 17.3
W 59 14097 16.7
W 62 13958 18.5
W 63 13958 18.4
W 64 13958 17.6
W 65 13958 17.4
W 67 13958 16.7
W 70 13796 21.6
W 75 13796 17.8
W 77 13796 17.8
W 79 13796 17.4
W 80 13796 17.7
W 81 13796 16.7
W 83 13657 21.7
W 86 13657 16.7
W 89 13495 17.8
W 90 13495 17.8
W 91 13495 16.8
W 92 13333 21.9
W 95 13333 17.0
W 98 13333 16.9
W 102 13333 16.8
W 104 13194 22.0
W 108 13194 17.1
W 109 13194 16.8
W 112 13032 17.7
W 113 13032 17.3
W 114 12894 22.2
W 116 12894 17.8
W 119 12894 17.4
W 121 12894 16.8
W 126 12731 23.7
W 130 12731 23.8
W 131 12731 22.4
W 135 12731 17.4
W 136 12731 16.8
W 138 12593 25.1
W 144 12593 22.5
W 146 12593 17.7
W 147 12593 17.5
W 149 12431 25.4
W 150 12431 25.3
W 151 12431 22.9
W 156 12431 17.6
W 162 12292 25.5
W 164 12292 22.7
W 167 12292 17.7
W 168 12292 17.7
W 174 12130 25.7
W 175 12130 25.7
W 176 12130 22.4
W 177 12130 22.4
W 179 12130 17.8
W 180 12130 17.7
W 185 11968 22.3
W 189 11829 29.7
W 192 11829 28.9
W 194 11829 25.9
W 195 11829 25.9
W 196 11829 22.1
W 197 11829 22.1
W 199 11829 19.0
W 200 11829 18.2
W 203 11829 17.3
W 205 11829 17.8
W 208 11667 29.5
W 210 11667 28.6
W 211 11667 28.5
W 215 11667 19.2
W 216 11667 19.2
W 219 11667 17.9
W 221 11667 17.3
W 223 11528 29.5
W 228 11528 21.8
W 233 11528 18.1
W 235 11528 18.1
W 237 11528 17.3
W 240 11366 29.4
W 241 11366 29.3
W 245 11366 21.7
W 247 11366 17.8
W 249 11227 29.8
W 250 11227 29.7
W 253 11227 29.5
W 254 11227 29.5
W 258 11227 28.7
W 259 11227 28.7
W 260 11227 28.7
W 262 11227 28.2
W 269 11227 17.7
W 270 11065 30.0
W 272 11065 29.9
W 274 11065 28.2
W 277 11065 28.3
W 279 11065 21.4
W 281 11065 19.5
W 282 11065 19.5
W 283 11065 17.4
W 284 11065 17.3
W 288 11065 17.4
W 289 11065 17.4
W 293 10926 28.1
W 297 10926 21.3
W 298 10926 21.3
W 300 10926 19.6
W 302 10764 30.3
W 305 10764 27.8
W 306 10764 27.3
W 308 10764 27.3
W 310 10764 26.2
W 311 10764 26.2
W 313 10764 21.0
W 314 10764 21.1
W 318 10625 30.5
W 320 10625 29.9
W 321 10625 28.9
W 328 10625 26.0
W 329 10625 25.9
W 330 10625 20.8
W 332 10625 20.8
W 333 10625 19.7
W 334 10463 31.3
W 335 10463 31.4
W 337 10463 30.7
W 338 10463 30.6
W 341 10463 28.6
W 343 10463 28.6
W 347 10463 27.5
W 351 10463 20.3
W 357 10301 31.3
W 360 10301 30.2
W 365 10301 28.0
W 367 10301 27.9
W 372 10301 27.2
W 375 10301 26.9
W 376 10301 26.9
W 377 10301 26.9
W 379 10301 27.0
W 383 10301 25.6
W 385 10301 19.5
W 386 10301 19.5
W 387 10301 19.5
W 391 10162 31.2
W 393 10162 30.9
W 397 10162 29.9
W 398 10162 29.5
W 399 10162 29.5
W 401 10162 28.2
W 405 10162 26.4
W 406 10162 25.6
W 407 10162 26.4
W 409 10162 19.1
W 410 10162 19.1
W 411 10162 19.1
W 413 10000 31.2
W 416 10000 30.0
W 418 10000 29.6
W 419 10000 29.6
W 422 10000 26.9
W 423 10000 25.5
W 428 9861 31.5
W 431 9861 31.1
W 432 9861 30.3
W 433 9861 30.1
W 435 9861 29.6
W 438 9861 29.0
W 439 9861 29.1
W 442 9861 26.3
W 446 9699 31.5
W 447 9699 31.2
W 448 9699 30.3
W 449 9699 30.1
W 450 9699 29.6
W 452 9699 28.9
W 454 9699 26.8
W 455 9699 26.8
W 457 9699 26.3
W 460 9699 18.3
W 461 9560 31.5
W 463 9560 31.2
W 468 9560 26.8
W 471 9560 24.7
W 472 9560 24.7
W 473 9560 24.0
W 475 9560 24.0
W 478 9560 18.1
W 479 9560 18.1
W 483 9398 30.3
W 484 9398 30.1
W 485 9398 30.1
W 491 9398 29.3
W 497 9398 29.1
W 498 9398 29.5
W 500 9398 29.2
W 502 9398 28.1
W 504 9398 28.1
W 506 9398 27.8
W 512 9398 24.9
W 513 9398 23.6
W 517 9398 18.0
W 519 9259 31.6
W 525 9259 29.4
W 527 9259 29.5
W 531 9259 29.4
W 532 9259 29.1
W 538 9259 29.3
W 539 9259 29.1
W 541 9259 29.5
W 542 9259 29.5
W 543 9259 29.1
W 544 9259 29.5
W 547 9259 29.2
W 551 9259 27.6
W 553 9259 26.7
W 554 9259 26.2
W 555 9259 25.2
W 556 9259 25.0
W 560 9259 23.3
W 563 9097 31.7
W 564 9097 31.7
W 565 9097 31.7
W 569 9097 30.1
W 570 9097 29.5
W 573 9097 29.4
W 574 9097 29.3
W 576 9097 29.2
W 578 9097 29.4
W 580 9097 29.1
W 582 9097 29.1
W 586 9097 29.2
W 588 9097 28.8
W 592 9097 29.2
W 594 9097 27.6
W 601 9097 23.0
W 602 9097 23.0
W 604 9097 17.5
W 605 9097 17.4
W 612 9097 17.4
W 613 9097 15.9
W 617 9097 17.5
W 618 8935 31.8
W 619 8935 31.9
W 620 8935 31.4
W 622 8935 30.2
W 629 8935 29.3
W 630 8935 29.3
W 631 8935 29.3
W 633 8935 29.2
W 637 8935 29.4
W 638 8935 28.9
W 639 8935 29.4
W 640 8935 29.3
W 642 8935 28.2
W 644 8935 28.2
W 645 8935 27.7
W 646 8935 27.6
W 647 8935 26.7
W 649 8935 25.2
W 651 8935 22.7
W 653 8935 17.1
W 654 8935 17.1
W 655 8935 15.5
W 658 8796 31.5
W 661 8796 29.5
W 665 8796 27.8
W 666 8796 26.7
W 667 8796 26.7
W 668 8796 26.1
W 670 8796 25.2
W 675 8796 17.2
W 680 8796 17.3
W 684 8796 16.4
W 686 8796 16.4
W 688 8634 32.0
W 689 8634 31.9
W 690 8634 31.9
W 692 8634 31.5
W 693 8634 31.5
W 694 8634 30.2
W 696 8634 29.6
W 698 8634 28.4
W 700 8634 27.7
W 701 8634 28.1
W 702 8634 26.7
W 704 8634 25.1
W 708 8634 17.5
W 709 8495 31.8
W 710 8495 31.8
W 711 8495 31.5
W 713 8495 29.9
W 714 8495 29.9
W 715 8495 29.9
W 720 8495 28.4
W 721 8495 26.7
W 723 8495 25.1
W 725 8495 22.3
W 728 8495 15.3
W 729 8333 31.9
W 731 8333 31.5
W 732 8333 28.6
W 733 8333 28.4
W 735 8333 27.9
W 736 8333 26.7
W 740 8333 22.2
W 745 8194 31.5
W 746 8194 30.2
W 747 8194 28.5
W 749 8194 28.4
W 754 8194 25.1
W 756 8194 22.1
W 759 8032 31.9
W 760 8032 31.5
W 761 8032 30.2
W 762 8032 28.4
W 763 8032 28.4
W 764 8032 27.9
W 765 8032 27.9
W 766 8032 26.7
W 768 8032 26.1
W 770 8032 25.1
W 772 8032 23.4
W 773 8032 23.4
W 775 8032 22.6
W 777 8032 22.6
W 779 8032 22.6
W 780 8032 21.9
W 781 8032 21.9
W 782 8032 22.6
W 784 8032 17.7
W 787 7894 31.5
W 788 7894 30.2
W 790 7894 29.9
W 791 7894 29.5
W 793 7894 29.5
W 795 7894 28.0
W 797 7894 26.7
W 798 7894 26.1
W 800 7894 25.1
W 801 7894 21.8
W 804 7894 17.7
W 805 7731 32.0
W 809 7731 30.0
W 810 7731 29.4
W 813 7731 29.3
W 815 7731 29.1
W 816 7731 29.1
W 817 7731 29.1
W 821 7731 28.4
W 822 7731 29.3
W 823 7731 28.4
W 826 7731 26.4
